Username,Content,translated_experience,lowercased,emojis_removed,slangs_replaced,contractions_replaced,punctuations_removed,numbers_removed,html_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized
nurashrr,"Dua kali ldr, dua kali dicurangi. Hahh! Nasib saya memang tak baiklah kalau bab ldr nie","Ldr twice, cheated twice. Hah! My luck is not good in this LDR chapter","ldr twice, cheated twice. hah! my luck is not good in this ldr chapter","ldr twice, cheated twice. hah! my luck is not good in this ldr chapter","ldr twice, cheated twice. hah! my luck is not good in this ldr chapter","ldr twice, cheated twice. hah! my luck is not good in this ldr chapter",ldr twice cheated twice hah my luck is not good in this ldr chapter,ldr twice cheated twice hah my luck is not good in this ldr chapter,ldr twice cheated twice hah my luck is not good in this ldr chapter,ldr twice cheated twice has my luck is not good in this ldr chapter,ldr twice cheated twice luck good ldr chapter,ldr twice cheat twice luck good ldr chapter,ldr twice cheat twice luck good ldr chapter
miyaamooree,sometime it's hurt. sebab some people are really good at pretending. Nampak dalam chat macam ada kau sorang je tapi we'll never know sebab jauh kan,"sometimes it's hurt. because some people are really good at pretending. It looks like you're the only one in the chat but we'll never know because you're so far away, right?","sometimes it's hurt. because some people are really good at pretending. it looks like you're the only one in the chat but we'll never know because you're so far away, right?","sometimes it's hurt. because some people are really good at pretending. it looks like you're the only one in the chat but we'll never know because you're so far away, right?","sometimes it's hurt. because some people are really good at pretending. it looks like you're the only one in the chat but we'll never know because you're so far away, right?","sometimes it is hurt. because some people are really good at pretending. it looks like you are the only one in the chat but we will never know because you are so far away, right?",sometimes it is hurt because some people are really good at pretending it looks like you are the only one in the chat but we will never know because you are so far away right,sometimes it is hurt because some people are really good at pretending it looks like you are the only one in the chat but we will never know because you are so far away right,sometimes it is hurt because some people are really good at pretending it looks like you are the only one in the chat but we will never know because you are so far away right,sometimes it is hurt because some people are really good at pretending it looks like you are the only one in the chat but we will never know because you are so far away right,sometimes hurt people really good pretending looks like one chat never know far away right,sometim hurt peopl realli good pretend look like one chat never know far away right,sometimes hurt people really good pretending look like one chat never know far away right
msmeoowwlah,"Rasa macam kau single??. Sebab lepas grad masing2 dah tanggungjawab and komitment. Dah tak boleh nak tumpu dekat kau je lagi. Sakit bila kau perlu dia, bila kau nak dekat dekat dia tapi tak dapat. Hati je kena kuat. Yang penting jujur. Kalau ada apa2 tak puas hati kita settle cara baik","Feel like you're single??. Because after graduation, everyone has responsibility and commitment. I can't lean on you anymore. It hurts when you need him, when you want to be close to him but you can't. The heart has to be strong. The important thing is to be honest. If you are not satisfied with anything, we will settle it amicably","feel like you're single??. because after graduation, everyone has responsibility and commitment. i can't lean on you anymore. it hurts when you need him, when you want to be close to him but you can't. the heart has to be strong. the important thing is to be honest. if you are not satisfied with anything, we will settle it amicably","feel like you're single??. because after graduation, everyone has responsibility and commitment. i can't lean on you anymore. it hurts when you need him, when you want to be close to him but you can't. the heart has to be strong. the important thing is to be honest. if you are not satisfied with anything, we will settle it amicably","feel like you're single??. because after graduation, everyone has responsibility and commitment. i can't lean on you anymore. it hurts when you need him, when you want to be close to him but you can't. the heart has to be strong. the important thing is to be honest. if you are not satisfied with anything, we will settle it amicably","feel like you are single??. because after graduation, everyone has responsibility and commitment. i cannot lean on you anymore. it hurts when you need him, when you want to be close to him but you cannot. the heart has to be strong. the important thing is to be honest. if you are not satisfied with anything, we will settle it amicably",feel like you are single because after graduation everyone has responsibility and commitment i cannot lean on you anymore it hurts when you need him when you want to be close to him but you cannot the heart has to be strong the important thing is to be honest if you are not satisfied with anything we will settle it amicably,feel like you are single because after graduation everyone has responsibility and commitment i cannot lean on you anymore it hurts when you need him when you want to be close to him but you cannot the heart has to be strong the important thing is to be honest if you are not satisfied with anything we will settle it amicably,feel like you are single because after graduation everyone has responsibility and commitment i cannot lean on you anymore it hurts when you need him when you want to be close to him but you cannot the heart has to be strong the important thing is to be honest if you are not satisfied with anything we will settle it amicably,feel like you are single because after graduation everyone has responsibility and commitment i cannot lean on you anymore it hurts when you need him when you want to be close to him but you cannot the heart has to be strong the important thing is to be honest if you are not satisfied with anything we will settle it amicably,feel like single graduation everyone responsibility commitment cannot lean anymore hurts need want close cannot heart strong important thing honest satisfied anything settle amicably,feel like singl graduat everyon respons commit cannot lean anymor hurt need want close cannot heart strong import thing honest satisfi anyth settl amic,feel like single graduation everyone responsibility commitment can not lean anymore hurt need want close can not heart strong important thing honest satisfy anything settle amicably
ChanDoenia,"LDR itu bukan 'true love', itu cuma simulasi jadi badut jarak jauh. Lo setia jaga komitmen, sementara dia di sana lagi 'jaga' perasaan orang lain yang lebih deket secara fisik. Cinta ga kenal jarak? Bullshit. Lo cuma investasi di hantu digital","LDR is not 'true love', it's just a simulation of being a long-distance clown. You faithfully maintain your commitments, while he is there 'looking after' the feelings of other people who are closer physically. Love knows no distance? Bullshit. You just invest in digital ghosts","ldr is not 'true love', it's just a simulation of being a long-distance clown. you faithfully maintain your commitments, while he is there 'looking after' the feelings of other people who are closer physically. love knows no distance? bullshit. you just invest in digital ghosts","ldr is not 'true love', it's just a simulation of being a long-distance clown. you faithfully maintain your commitments, while he is there 'looking after' the feelings of other people who are closer physically. love knows no distance? bullshit. you just invest in digital ghosts","ldr is not 'true love', it's just a simulation of being a long-distance clown. you faithfully maintain your commitments, while he is there 'looking after' the feelings of other people who are closer physically. love knows no distance? bullshit. you just invest in digital ghosts","ldr is not 'true love', it is just a simulation of being a long-distance clown. you faithfully maintain your commitments, while he is there 'looking after' the feelings of other people who are closer physically. love knows no distance? bullshit. you just invest in digital ghosts",ldr is not true love it is just a simulation of being a longdistance clown you faithfully maintain your commitments while he is there looking after the feelings of other people who are closer physically love knows no distance bullshit you just invest in digital ghosts,ldr is not true love it is just a simulation of being a longdistance clown you faithfully maintain your commitments while he is there looking after the feelings of other people who are closer physically love knows no distance bullshit you just invest in digital ghosts,ldr is not true love it is just a simulation of being a longdistance clown you faithfully maintain your commitments while he is there looking after the feelings of other people who are closer physically love knows no distance bullshit you just invest in digital ghosts,ldr is not true love it is just a simulation of being a longdistance clown you faithfully maintain your commitments while he is there looking after the feelings of other people who are closer physically love knows no distance bullshit you just invest in digital ghosts,ldr true love simulation longdistance clown faithfully maintain commitments looking feelings people closer physically love knows distance bullshit invest digital ghosts,ldr true love simul longdist clown faith maintain commit look feel peopl closer physic love know distanc bullshit invest digit ghost,ldr true love simulation longdistance clown faithfully maintain commitment look feeling people closer physically love know distance bullshit invest digital ghost
unknowngirl_231,"Gagal LDR di 1,7 tahun rasanya mau gila. Sedangkan dia baik2 saja sudah mendapatkan ganti di awal minggu kita putus dan sekarang sedang merayakan cinta barunya","Failing to be in an LDR after 1.7 years makes me feel like I'm going crazy. Meanwhile, he is fine, he got replaced at the beginning of the week we broke up and is now celebrating his new love","failing to be in an ldr after 1.7 years makes me feel like i'm going crazy. meanwhile, he is fine, he got replaced at the beginning of the week we broke up and is now celebrating his new love","failing to be in an ldr after 1.7 years makes me feel like i'm going crazy. meanwhile, he is fine, he got replaced at the beginning of the week we broke up and is now celebrating his new love","failing to be in an ldr after 1.7 years makes me feel like i'm going crazy. meanwhile, he is fine, he got replaced at the beginning of the week we broke up and is now celebrating his new love","failing to be in an ldr after 1.7 years makes me feel like i am going crazy. meanwhile, he is fine, he got replaced at the beginning of the week we broke up and is now celebrating his new love",failing to be in an ldr after 17 years makes me feel like i am going crazy meanwhile he is fine he got replaced at the beginning of the week we broke up and is now celebrating his new love,failing to be in an ldr after  years makes me feel like i am going crazy meanwhile he is fine he got replaced at the beginning of the week we broke up and is now celebrating his new love,failing to be in an ldr after  years makes me feel like i am going crazy meanwhile he is fine he got replaced at the beginning of the week we broke up and is now celebrating his new love,failing to be in an ldr after years makes me feel like i am going crazy meanwhile he is fine he got replaced at the beginning of the week we broke up and is now celebrating his new love,failing ldr years makes feel like going crazy meanwhile fine got replaced beginning week broke celebrating new love,fail ldr year make feel like go crazi meanwhil fine got replac begin week broke celebr new love,fail ldr year make feel like go crazy meanwhile fine get replaced begin week break celebrate new love
JatIkhwan,"Only those with pure hearts full of love je boleh ldr. Sebenarnya ldr ni tak boleh jadikan langsung alasan untuk break. Jahat. Obviously tak ada cinta dalam hati. But for those yang mampu overcome ldr, tahniah you found love in each other.","Only those with pure hearts full of love can ldr. Actually, this ldr cannot be used as a reason to break up. Evil. Obviously there is no love in the heart. But for those who are able to overcome ldr, congratulations you found love in each other.","only those with pure hearts full of love can ldr. actually, this ldr cannot be used as a reason to break up. evil. obviously there is no love in the heart. but for those who are able to overcome ldr, congratulations you found love in each other.","only those with pure hearts full of love can ldr. actually, this ldr cannot be used as a reason to break up. evil. obviously there is no love in the heart. but for those who are able to overcome ldr, congratulations you found love in each other.","only those with pure hearts full of love can ldr. actually, this ldr cannot be used as a reason to break up. evil. obviously there is no love in the heart. but for those who are able to overcome ldr, congratulations you found love in each other.","only those with pure hearts full of love can ldr. actually, this ldr cannot be used as a reason to break up. evil. obviously there is no love in the heart. but for those who are able to overcome ldr, congratulations you found love in each other.",only those with pure hearts full of love can ldr actually this ldr cannot be used as a reason to break up evil obviously there is no love in the heart but for those who are able to overcome ldr congratulations you found love in each other,only those with pure hearts full of love can ldr actually this ldr cannot be used as a reason to break up evil obviously there is no love in the heart but for those who are able to overcome ldr congratulations you found love in each other,only those with pure hearts full of love can ldr actually this ldr cannot be used as a reason to break up evil obviously there is no love in the heart but for those who are able to overcome ldr congratulations you found love in each other,only those with pure hearts full of love can ldr actually this ldr cannot be used as a reason to break up evil obviously there is no love in the heart but for those who are able to overcome ldr congratulations you found love in each other,pure hearts full love ldr actually ldr cannot used reason break evil obviously love heart able overcome ldr congratulations found love,pure heart full love ldr actual ldr cannot use reason break evil obvious love heart abl overcom ldr congratul found love,pure hearts full love ldr actually ldr can not use reason break evil obviously love heart able overcome ldr congratulation find love
jesserock008,"You can try it, My wife and I were once in a LDR before we got married. As long as the goal is the same and both of you are well disciplined, I see no reason why it should be a problem. It only becomes a problem when both of you lack physical discipline around the opposite sex.","You can try it, My wife and I were once in a LDR before we got married. As long as the goal is the same and both of you are well disciplined, I see no reason why it should be a problem. It only becomes a problem when both of you lack physical discipline around the opposite sex.","you can try it, my wife and i were once in a ldr before we got married. as long as the goal is the same and both of you are well disciplined, i see no reason why it should be a problem. it only becomes a problem when both of you lack physical discipline around the opposite sex.","you can try it, my wife and i were once in a ldr before we got married. as long as the goal is the same and both of you are well disciplined, i see no reason why it should be a problem. it only becomes a problem when both of you lack physical discipline around the opposite sex.","you can try it, my wife and i were once in a ldr before we got married. as long as the goal is the same and both of you are well disciplined, i see no reason why it should be a problem. it only becomes a problem when both of you lack physical discipline around the opposite sex.","you can try it, my wife and i were once in a ldr before we got married. as long as the goal is the same and both of you are well disciplined, i see no reason why it should be a problem. it only becomes a problem when both of you lack physical discipline around the opposite sex.",you can try it my wife and i were once in a ldr before we got married as long as the goal is the same and both of you are well disciplined i see no reason why it should be a problem it only becomes a problem when both of you lack physical discipline around the opposite sex,you can try it my wife and i were once in a ldr before we got married as long as the goal is the same and both of you are well disciplined i see no reason why it should be a problem it only becomes a problem when both of you lack physical discipline around the opposite sex,you can try it my wife and i were once in a ldr before we got married as long as the goal is the same and both of you are well disciplined i see no reason why it should be a problem it only becomes a problem when both of you lack physical discipline around the opposite sex,you can try it my wife and i were once in a ldr before we got married as long as the goal is the same and both of you are well disciplined i see no reason why it should be a problem it only becomes a problem when both of you lack physical discipline around the opposite sex,try wife ldr got married long goal well disciplined see reason problem becomes problem lack physical discipline around opposite sex,tri wife ldr got marri long goal well disciplin see reason problem becom problem lack physic disciplin around opposit sex,try wife ldr get married long goal well discipline see reason problem become problem lack physical discipline around opposite sex
FlyKiteSmellAir,"banyak nasihat cakap hire maid. anon buat apa kerja 34k kalau maid pun tak mampu hire, terbangkan bini ke middle east sebulan sekali atau anon terbang balik Malaysia. Ldr kena rajin travel. duit banyak tapi tak maintain relationship. better resign atau cerai kalau malas maintain.","a lot of advice, talk about hiring a maid. anon what do you do for 34k if you can't even hire a maid, fly your wife to the middle east once a month or anon fly back to Malaysia. Ldr has to travel diligently. a lot of money but not maintaining a relationship. better resign or divorce if lazy to maintain.","a lot of advice, talk about hiring a maid. anon what do you do for 34k if you can't even hire a maid, fly your wife to the middle east once a month or anon fly back to malaysia. ldr has to travel diligently. a lot of money but not maintaining a relationship. better resign or divorce if lazy to maintain.","a lot of advice, talk about hiring a maid. anon what do you do for 34k if you can't even hire a maid, fly your wife to the middle east once a month or anon fly back to malaysia. ldr has to travel diligently. a lot of money but not maintaining a relationship. better resign or divorce if lazy to maintain.","a lot of advice, talk about hiring a maid. anon what do you do for 34k if you can't even hire a maid, fly your wife to the middle east once a month or anon fly back to malaysia. ldr has to travel diligently. a lot of money but not maintaining a relationship. better resign or divorce if lazy to maintain.","a lot of advice, talk about hiring a maid. anon what do you do for 34k if you cannot even hire a maid, fly your wife to the middle east once a month or anon fly back to malaysia. ldr has to travel diligently. a lot of money but not maintaining a relationship. better resign or divorce if lazy to maintain.",a lot of advice talk about hiring a maid anon what do you do for 34k if you cannot even hire a maid fly your wife to the middle east once a month or anon fly back to malaysia ldr has to travel diligently a lot of money but not maintaining a relationship better resign or divorce if lazy to maintain,a lot of advice talk about hiring a maid anon what do you do for k if you cannot even hire a maid fly your wife to the middle east once a month or anon fly back to malaysia ldr has to travel diligently a lot of money but not maintaining a relationship better resign or divorce if lazy to maintain,a lot of advice talk about hiring a maid anon what do you do for k if you cannot even hire a maid fly your wife to the middle east once a month or anon fly back to malaysia ldr has to travel diligently a lot of money but not maintaining a relationship better resign or divorce if lazy to maintain,a lot of advice talk about hiring a maid anon what do you do for k if you cannot even hire a maid fly your wife to the middle east once a month or anon fly back to malaysia ldr has to travel diligently a lot of money but not maintaining a relationship better resign or divorce if lazy to maintain,lot advice talk hiring maid anon k cannot even hire maid fly wife middle east month anon fly back malaysia ldr travel diligently lot money maintaining relationship better resign divorce lazy maintain,lot advic talk hire maid anon k cannot even hire maid fli wife middl east month anon fli back malaysia ldr travel dilig lot money maintain relationship better resign divorc lazi maintain,lot advice talk hire maid anon k can not even hire maid fly wife middle east month anon fly back malaysia ldr travel diligently lot money maintain relationship well resign divorce lazy maintain
001Wealth,Long distance relationship comes with long term heartbreak..,Long distance relationship comes with long term heartbreak..,long distance relationship comes with long term heartbreak..,long distance relationship comes with long term heartbreak..,long distance relationship comes with long term heartbreak..,long distance relationship comes with long term heartbreak..,long distance relationship comes with long term heartbreak,long distance relationship comes with long term heartbreak,long distance relationship comes with long term heartbreak,long distance relationship comes with long term heartbreak,long distance relationship comes long term heartbreak,long distanc relationship come long term heartbreak,long distance relationship come long term heartbreak
Merchimaaa,"Long distance relationships show you what love actually needs trust, honest communication, and steady effort. When you can't reach for each other, every message and call becomes a choice to stay connected
It's hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience.","Long distance relationships show you what love actually needs trust, honest communication, and steady effort. When you can't reach for each other, every message and call becomes a choice to stay connected
It's hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience.","long distance relationships show you what love actually needs trust, honest communication, and steady effort. when you can't reach for each other, every message and call becomes a choice to stay connected
it's hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience.","long distance relationships show you what love actually needs trust, honest communication, and steady effort. when you can't reach for each other, every message and call becomes a choice to stay connected
it's hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience.","long distance relationships show you what love actually needs trust, honest communication, and steady effort. when you can't reach for each other, every message and call becomes a choice to stay connected
it's hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience.","long distance relationships show you what love actually needs trust, honest communication, and steady effort. when you cannot reach for each other, every message and call becomes a choice to stay connected
it is hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience.","long distance relationships show you what love actually needs trust honest communication and steady effort when you cannot reach for each other every message and call becomes a choice to stay connected
it is hard sometimes but choosing each other across miles proves the bond is built on commitment not convenience","long distance relationships show you what love actually needs trust honest communication and steady effort when you cannot reach for each other every message and call becomes a choice to stay connected
it is hard sometimes but choosing each other across miles proves the bond is built on commitment not convenience",long distance relationships show you what love actually needs trust honest communication and steady effort when you cannot reach for each other every message and call becomes a choice to stay connected it is hard sometimes but choosing each other across miles proves the bond is built on commitment not convenience,long distance relationships show you what love actually needs trust honest communication and steady effort when you cannot reach for each other every message and call becomes a choice to stay connected it is hard sometimes but choosing each other across miles proves the bond is built on commitment not convenience,long distance relationships show love actually needs trust honest communication steady effort cannot reach every message call becomes choice stay connected hard sometimes choosing across miles proves bond built commitment convenience,long distanc relationship show love actual need trust honest commun steadi effort cannot reach everi messag call becom choic stay connect hard sometim choos across mile prove bond built commit conveni,long distance relationship show love actually need trust honest communication steady effort can not reach every message call become choice stay connect hard sometimes choose across mile prove bond built commitment convenience
